"expensive","teuer","pleasant","angenehm","weird","seltsam"
"famous","berühmt","pleasant","ansprechend","welcoming","gastfreundlich"
"far","weit","political","politisch","well","gut"
"fast","schnell","polluted","verschmutzt","wet","feucht, nass"
"faux_","falsch","poor","arm","wet","nass"
"fearful","ängstlich, ängstlich","popular","populär","whole","ganz"
"filled","voll","positive","positiv","wide","breit"
"first","erster","possible","möglich","wild","wild"
"former","antik","powerful","mächtig","wonderful","wunderbar"
"formidable","großartig","practice","praktisch","worn","verbraucht"
"fragile","zerbrechlich","precise","präzise","worried","besorgt"
"frequent","häufig","pretentious","anmaßend , eingebildet","worse","schlechter"
"","","","","young","jung"
